Unnamed: 0,company_name,이벤트 발생 횟수,source,stock_code,corp_code
165,삼성전기,0,"요청 실패: HTTPSConnectionPool(host='opendart.fss.or.kr', port=443): Max retries exceeded with url: /api/list.json?crtfc_key=a3e8c0f55e2d783460b8337e65f89c08c66b9bc0&corp_code=00126371&bgn_de=20200624&end_de=20250624&page_no=1&page_count=100 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000174A104B2F0>, 'Connection to opendart.fss.or.kr timed out. (connect timeout=10)'))",9150,126371
166,녹십자홀딩스,0,없음,5250,108135
167,LS,0,없음,6260,105952
168,농심,0,없음,4370,108241
169,한화,0,없음,880,160588
170,영풍,0,없음,670,141307
171,롯데정밀화학,0,없음,4000,157681
172,DL,0,없음,210,109693
173,태광산업,0,없음,3240,153393
174,NH투자증권,0,없음,5940,120182
175,미래에셋증권,0,없음,6800,111722
176,삼성화재해상보험,0,없음,810,139214
177,삼양식품,0,없음,3230,126955
178,오리온홀딩스,0,없음,1800,117577
179,삼성전자,1,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210120800650,5930,126380
180,KG모빌리티,0,없음,3620,138242
181,현대자동차,0,없음,5380,164742
182,한화솔루션,0,없음,9830,162461
183,롯데지주,1,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210729800611,4990,120562
184,기아,0,없음,270,106641
185,CJ,0,없음,1040,148540
186,두산,0,없음,150,117212
187,DB손해보험,0,없음,5830,159102
188,대웅,0,없음,3090,111810
189,케이씨씨,0,없음,2380,105271
190,롯데칠성음료,0,없음,5300,120571
191,아모레퍼시픽홀딩스,0,없음,2790,154462
192,대상,0,없음,1680,121941
193,LG,0,없음,3550,120021
194,세아제강지주,0,없음,3030,124197
195,대한전선,0,없음,1440,113207
196,한국앤컴퍼니,6,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250530801403; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250530801320; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230331803266; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230331802228; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20201123800427; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20201123800413,240,160047
197,대한항공,1,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20201124800471,3490,113526
198,유한양행,0,없음,100,145109
199,CJ대한통운,0,없음,120,113410
